"sorszam","telnev","iskola","egyutt","neme","szulev","htfovi","neme2","szulev2","szulho2","htfovi2","neme3","szulev3","szulho3","htfovi3","neme4","szulev4","szulho4","htfovi4","neme5","szulev5","szulho5","htfovi5","neme6","szulev6","szulho6","htfovi6","csalall","dolg","agazat","htnetto","d9","d10","d11"
485,"Orosháza                 ","8 általános","2","Férfi","1960","Családfő","Nő","1964","6","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Szállítás, raktározás","145000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
486,"Orosháza                 ","Gimnáziumi érettségi","4","Férfi","1976","Családfő","Nő","1979","4","Házastársa","Férfi","2001","11","Gyermeke","Nő","2003","7","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Vízellátás, szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés","240000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
488,"Orosháza                 ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1963","Családfő","Nő","1965","1","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar","175000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
489,"Orosháza                 ","Szakmunkásképző; szakképzés érettségi nélkül","2","Nő","1963","Házastársa","Férfi","1957","1","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Szálláshely-szolgáltatás, vendéglátás","210000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
495,"Orosháza                 ","8 általános","8","Nő","1984","Egyéb rokon","Nő","1978","4","Házastársa","Férfi","1976","7","Családfő","Férfi","1996","7","Egyéb rokon","Nő","2003","2","Egyéb rokon","Férfi","2007","12","Egyéb rokon","Nőtlen, hajadon","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
497,"Újkígyós                 ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1974","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Kereskedelem, gépjárműjavítás","180000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
499,"Újkígyós                 ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","3","Férfi","1988","Családfő","Nő","1992","8","Házastársa","Nő","2013","3","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","320000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
500,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Férfi","1978","Családfő","Nő","1973","4","Házastársa","Nő","1998","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Szállítás, raktározás","350000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
501,"Újkígyós                 ","Gimnáziumi érettségi","2","Nő","1967","Családfő","Férfi","1996","3","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Pénzügyi, biztosítási tevékenység","280000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
502,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Nő","1982","Családfő","Férfi","1981","9","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","280000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
503,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Férfi","1974","Családfő","Nő","1979","4","Házastársa","Férfi","2004","6","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","290000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
505,"Újkígyós                 ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1964","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Építőipar","120000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
506,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Nő","1956","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Pénzügyi, biztosítási tevékenység","2e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
509,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1989","Családfő","Nő","1993","3","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Építőipar","350000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
510,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1993","Családfő","Nő","1996","7","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Szállítás, raktározás","250000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
511,"Újkígyós                 ","Szakközépiskolai érettségi; szakképzést követő érettségi","3","Nő","1987","Házastársa","Férfi","1982","4","Családfő","Nő","2012","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Adminisztratív és szolgáltatást támogató tevékenység","290000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
513,"Újkígyós                 ","Gimnáziumi érettségi","2","Nő","1955","Házastársa","Férfi","1951","7","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Információ, kommunikáció","3e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
514,"Bánréve                  ","Főiskola / BA / BSc","2","Nő","1965","Családfő","Férfi","1961","11","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
516,"Bánréve                  ","Főiskola / BA / BSc","Egyedül él                    ","Nő","1971","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Humán-egészségügyi, szociális ellátás","160000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
517,"Bánréve                  ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1965","Családfő","Nő","1969","2","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Építőipar","2e+05","családi ház kerttel","saját ívóvíz kút","szennyvízgyűjtés a telken és szennyvíz szippantás"
518,"Bánréve                  ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1965","Családfő","Nő","1966","9","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás","160000","családi ház kerttel","saját ívóvíz kút","szennyvízgyűjtés a telken és szennyvíz szippantás"
519,"Bánréve                  ","8 általános","2","Nő","1963","Családfő","Férfi","1985","11","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás","130000","családi ház kerttel","saját ívóvíz kút","szennyvízgyűjtés a telken és szennyvíz szippantás"
523,"Bánréve                  ","Gimnáziumi érettségi","2","Férfi","1966","Családfő","Nő","1966","7","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Szállítás, raktározás",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
529,"Hej?papi                 ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1965","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Munkanélküli","Szálláshely-szolgáltatás, vendéglátás",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
530,"Hej?papi                 ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Nő","1965","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Oktatás",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
532,"Hej?papi                 ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1980","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
534,"Hej?papi                 ","8 általános","3","Nő","1985","Gyermeke","Férfi","1953","1","Családfő","Nő","2014","6","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
535,"Hej?papi                 ","8 általános","Egyedül él                    ","Férfi","1963","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
536,"Hej?papi                 ","8 általános","3","Férfi","1996","Családfő","Nő","1998","4","Élettársa","Nő","2016","2","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
538,"Hej?papi                 ","8 általános","Egyedül él                    ","Nő","1969","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
539,"Hej?papi                 ","8 általános","2","Férfi","1987","Családfő","Nő","1989","3","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Munkanélküli","Feldolgozóipar",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
542,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1959","Családfő","Nő","1954","4","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Munkanélküli","Feldolgozóipar","53000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
544,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1963","Családfő","Nő","1969","3","Házastársa","Férfi","2005","7","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Munkanélküli","Bányászat, kőfejtés","1e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
545,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1956","Családfő","Nő","1965","10","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Munkanélküli","Közigazgatás, védelem; kötelező társadalombiztosítás","64000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
546,"Jákfalva                 ","Egyetem / MA / MSc","2","Nő","1991","Gyermeke","Nő","1954","4","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Munkanélküli","Sosem dolgozott","22000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
547,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","4","Férfi","1995","Családfő","Nő","1994","12","Házastársa","Nő","2015","5","Gyermeke","Férfi","2017","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Építőipar","1e+05","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
548,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","4","Nő","1998","Gyermeke","Férfi","1971","10","Családfő","Nő","1979","7","Házastársa","Férfi","2005","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza","143000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
550,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","4","Férfi","1971","Családfő","Nő","1974","1","Házastársa","Nő","1993","4","Gyermeke","Férfi","1999","10","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Közigazgatás, védelem; kötelező társadalombiztosítás","120000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
553,"Jákfalva                 ","Szakmunkásképző; szakképzés érettségi nélkül","5","Férfi","1990","Családfő","Nő","1992","1","Házastársa","Nő","2010","11","Gyermeke","Férfi","2013","1","Gyermeke","Férfi","2015","3","Gyermeke",NA,NA,NA,NA,"Házas és együtt élnek","Munkanélküli","Feldolgozóipar","15000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
556,"Járdánháza               ","Kevesebb, mint 8 általános","3","Férfi","1983","Családfő","Nő","1976","11","Élettársa","Nő","1961","11","Egyéb rokon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Munkanélküli","Szállítás, raktározás","150000","többlakásos ház kert nélkül","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
557,"Járdánháza               ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Nő","1968","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Humán-egészségügyi, szociális ellátás","180000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
558,"Járdánháza               ","Kevesebb, mint 8 általános","Egyedül él                    ","Nő","1963","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Egyéb szolgáltatás","65000","többlakásos ház kert nélkül","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
559,"Járdánháza               ","8 általános","2","Férfi","1959","Családfő","Nő","1957","11","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","150000","többlakásos ház kert nélkül","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
561,"Járdánháza               ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Nő","1961","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Özvegy","Alkalmazott","Oktatás","150000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
563,"Járdánháza               ","Egyetem / MA / MSc","2","Férfi","1970","Családfő","Nő","1977","4","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Oktatás",NA,"családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
569,"Járdánháza               ","Gimnáziumi érettségi","3","Férfi","1982","Családfő","Nő","1985","10","Házastársa","Nő","2015","7","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar","280000","családi ház kerttel","közműves ívóvízellátás","szennyvízgyűjtés a telken és szennyvíz szippantás"
570,"Karcsa                   ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Férfi","1969","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Építőipar",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
573,"Karcsa                   ","8 általános","3","Nő","1994","Házastársa","Férfi","1989","1","Családfő","Férfi","2013","10","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza",NA,"családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
577,"Karcsa                   ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1978","Családfő","Nő","1984","2","Házastársa","Nő","2014","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Feldolgozóipar","2e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
582,"Karcsa                   ","Szakmunkásképző; szakképzés érettségi nélkül","2","Férfi","1966","Családfő","Nő","1941","5","Szülője, anyósa, apósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Szállítás, raktározás","160000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
585,"Kazincbarcika            ","Szakmunkásképző; szakképzés érettségi nélkül","3","Nő","1983","Házastársa","Férfi","1981","4","Családfő","Nő","2009","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Egyéb szolgáltatás","280000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
590,"Kazincbarcika            ","Főiskola / BA / BSc","2","Nő","1983","Családfő","Nő","2007","6","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Humán-egészségügyi, szociális ellátás","150000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
591,"Kazincbarcika            ","Szakközépiskolai érettségi; szakképzést követő érettségi","5","Nő","1980","Házastársa","Férfi","1980","6","Családfő","Nő","2004","6","Gyermeke","Nő","2013","11","Gyermeke","Férfi","2016","3","Gyermeke",NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","290000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
593,"Kazincbarcika            ","Szakmunkásképző; szakképzés érettségi nélkül","4","Férfi","1972","Családfő","Nő","1972","10","Élettársa","Férfi","1998","3","Gyermeke","Férfi","2001","9","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","4e+05","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
594,"Kazincbarcika            ","Szakközépiskolai érettségi; szakképzést követő érettségi","4","Férfi","1977","Családfő","Nő","1980","9","Élettársa","Férfi","2014","8","Gyermeke","Nő","2014","8","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","3e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
597,"Kazincbarcika            ","Egyetem / MA / MSc","Egyedül él                    ","Nő","1964","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Humán-egészségügyi, szociális ellátás","3e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
600,"Kazincbarcika            ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1982","Családfő","Nő","1988","7","Élettársa","Nő","2015","5","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","180000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
602,"Kazincbarcika            ","Szakközépiskolai érettségi; szakképzést követő érettségi","Egyedül él                    ","Nő","1969","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Kereskedelem, gépjárműjavítás","73000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
604,"Mez?keresztes            ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","Egyedül él                    ","Férfi","1987","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nőtlen, hajadon","Alkalmazott","Villamosenergia-, gáz-, gőzellátás, légkondicionálás","160000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
605,"Mez?keresztes            ","Szakmunkásképző; szakképzés érettségi nélkül","4","Nő","1989","Házastársa","Férfi","1984","6","Családfő","Nő","1959","9","Szülője, anyósa, apósa","Férfi","2011","2","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Humán-egészségügyi, szociális ellátás","240000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
607,"Mez?keresztes            ","8 általános","7","Férfi","1981","Családfő","Nő","1979","9","Házastársa","Férfi","1999","12","Gyermeke","Nő","2002","7","Gyermeke","Férfi","2003","12","Gyermeke","Férfi","2015","10","Gyermeke","Házas és együtt élnek","Alkalmazott","Feldolgozóipar","220000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
609,"Mez?keresztes            ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","2","Nő","1990","Házastársa","Férfi","1986","6","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Humán-egészségügyi, szociális ellátás","180000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
610,"Mez?keresztes            ","Szakmunkásképző; szakképzés érettségi nélkül","Egyedül él                    ","Nő","1981","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","110000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
611,"Mez?keresztes            ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1959","Családfő","Nő","1961","1","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","250000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
612,"Mez?keresztes            ","8 általános","2","Nő","1969","Családfő","Férfi","2008","4","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Feldolgozóipar","120000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
616,"Mez?keresztes            ","Érettségit követő, felsőfokra nem akkreditált szakképzés; középfokú technikum","4","Férfi","1966","Családfő","Nő","1970","6","Házastársa","Férfi","1993","7","Gyermeke","Nő","1997","1","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","380000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
620,"Mez?keresztes            ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1984","Családfő","Nő","1988","3","Házastársa","Férfi","2013","2","Gyermeke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Mezőgazdaság, erdőgazdálkodás, halásza","2e+05","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
621,"Mez?keresztes            ","Szakmunkásképző; szakképzés érettségi nélkül","3","Férfi","1992","Gyermeke","Férfi","1962","7","Családfő","Nő","1967","5","Házastársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas, de külön él","Alkalmazott","Feldolgozóipar","250000","családi ház kerttel","közműves ívóvízellátás","közműves szennyvízhálózat"
622,"Miskolc                  ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Nő","1962","Házastársa","Férfi","1952","7","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Házas és együtt élnek","Alkalmazott","Kereskedelem, gépjárműjavítás","250000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
627,"Miskolc                  ","Főiskola / BA / BSc","Egyedül él                    ","Férfi","1968","Családfő",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elvált","Alkalmazott","Kereskedelem, gépjárműjavítás","140000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
629,"Miskolc                  ","8 általános","7","Férfi","1967","Családfő","Nő","1982","4","Élettársa","Férfi","2006","3","Gyermeke","Nő","2007","2","Gyermeke","Férfi","2010","4","Gyermeke","Férfi","2014","6","Gyermeke","Élettárssal él","Munkanélküli","Kereskedelem, gépjárműjavítás","137000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
630,"Miskolc                  ","Szakközépiskolai érettségi; szakképzést követő érettségi","2","Férfi","1990","Családfő","Nő","1990","7","Élettársa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Élettárssal él","Alkalmazott","Feldolgozóipar","150000","lakótelepi lakás","közműves ívóvízellátás","közműves szennyvízhálózat"
